combinacion,nro_pasos,nro_capas_lstm,unidades_capa,nro_capas_dense,unidades_dense,loss_function,act_salida,act_lstm,act_dense,loss_value(mse),cv_scores_mean,tiempo(s)
1,1,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.01630306802690029,0.017223104774842856,23.922115087509155
2,1,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.029086368158459663,0.05947889564201183,25.75389862060547
3,1,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.03746401518583298,0.057665008935750384,28.17104458808899
combinacion,nro_pasos,nro_capas_lstm,unidades_capa,nro_capas_dense,unidades_dense,loss_function,act_salida,act_lstm,act_dense,loss_value(mse),cv_scores_mean,tiempo(s)
1,1,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.02194303274154663,0.019577392024295277,78.12942147254944
2,1,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.03994964063167572,0.08221517203664168,72.55153322219849
combinacion,nro_pasos,nro_capas_lstm,unidades_capa,nro_capas_dense,unidades_dense,loss_function,act_salida,act_lstm,act_dense,loss_value(mse),cv_scores_mean,tiempo(s)
1,1,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.02576860412955284,0.02361444803527422,34.260438442230225
2,1,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.04502265900373459,0.0434894984289131,76.31419563293457
3,1,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.01520581729710102,0.04818197621019314,81.2628812789917
4,2,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.021108651533722878,0.026407438485826683,53.57490396499634
5,2,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.08057607710361481,0.06257865207362705,45.48884129524231
6,2,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.031340591609478,0.07267537976331365,82.13642001152039
7,3,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.023366058245301247,0.017410691311925054,59.64449644088745
8,3,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.02118237502872944,0.05909592593841835,91.21949243545532
9,3,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.02055365778505802,0.055958942264869437,108.56589269638062
10,4,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.01889156550168991,0.020568956321283464,106.04284071922302
11,4,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.08037354797124863,0.060102912387376264,127.29331731796265
12,4,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.0609670914709568,0.05710646340202864,134.01531982421875
13,5,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.019972695037722588,0.016427706605946828,141.89363026618958
14,5,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.06021558493375778,0.08206517302859731,74.05643033981323
15,5,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.05936410650610924,0.04852725613978693,98.06947565078735
16,6,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.02730201743543148,0.01933597195738248,154.90521335601807
17,6,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.02010672725737095,0.06868866314097903,165.68458724021912
18,6,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.03993071988224983,0.08048418073232154,138.30738019943237
19,7,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.020154224708676338,0.027664163276680902,99.26682591438293
20,7,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.07863356173038483,0.08447146895884024,172.16779971122742
21,7,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.03261074051260948,0.05980277348914884,126.18780183792114
22,8,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.019737660884857178,0.02128995477366164,124.65246081352234
23,8,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.01665683463215828,0.06500225777987396,159.29399943351746
24,8,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.0496983639895916,0.027213912704135985,133.17490005493164
25,9,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.02185928262770176,0.020767846069415504,140.09735083580017
26,9,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.020899690687656403,0.037122273640974604,202.1928150653839
27,9,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.03152373060584068,0.06431654871066952,150.93639206886292
28,10,2,"50, 40",0,"40, 30",mse,relu,relu,sigmoid,0.027488762512803078,0.02619686266106263,158.33728909492493
29,10,2,"50, 40",1,"40, 30",mse,relu,relu,sigmoid,0.017997711896896362,0.04040596881684441,94.59574294090271
30,10,2,"50, 40",2,"40, 30",mse,relu,relu,sigmoid,0.067448191344738,0.0626054269940697,61.85553431510925
